CPP,Indicator,Type,Year,value
Aberdeen City,Healthy Birthweight,Raw data,2006/07,90.05498743601004
Aberdeenshire,Healthy Birthweight,Raw data,2006/07,89.54271919421727
Angus,Healthy Birthweight,Raw data,2006/07,89.82822945410078
Argyll and Bute,Healthy Birthweight,Raw data,2006/07,87.79665312902729
Clackmannanshire,Healthy Birthweight,Raw data,2006/07,89.26579481888557
Dumfries and Galloway,Healthy Birthweight,Raw data,2006/07,88.7531040152317
Dundee City,Healthy Birthweight,Raw data,2006/07,90.07527167646599
East Ayrshire,Healthy Birthweight,Raw data,2006/07,88.66336995010828
East Dunbartonshire,Healthy Birthweight,Raw data,2006/07,88.84041156712264
East Lothian,Healthy Birthweight,Raw data,2006/07,89.57904701916742
East Renfrewshire,Healthy Birthweight,Raw data,2006/07,88.50435058321015
"Edinburgh, City of",Healthy Birthweight,Raw data,2006/07,89.36721973622157
Eilean Siar,Healthy Birthweight,Raw data,2006/07,88.1925279264057
Falkirk,Healthy Birthweight,Raw data,2006/07,88.27819965744806
Fife,Healthy Birthweight,Raw data,2006/07,88.39358079581206
Glasgow City,Healthy Birthweight,Raw data,2006/07,88.63513665358182
Highland,Healthy Birthweight,Raw data,2006/07,90.10196683708371
Inverclyde,Healthy Birthweight,Raw data,2006/07,89.13582275817608
Midlothian,Healthy Birthweight,Raw data,2006/07,89.4667370491461
Moray,Healthy Birthweight,Raw data,2006/07,89.14842316824945
North Ayrshire,Healthy Birthweight,Raw data,2006/07,88.18929485940033
North Lanarkshire,Healthy Birthweight,Raw data,2006/07,88.21585782552461
Orkney Islands,Healthy Birthweight,Raw data,2006/07,88.90168016236687
Perth and Kinross,Healthy Birthweight,Raw data,2006/07,89.08031301174844
Renfrewshire,Healthy Birthweight,Raw data,2006/07,88.97028500704035
Scotland,Healthy Birthweight,Raw data,2006/07,88.90702040385787
Scottish Borders,Healthy Birthweight,Raw data,2006/07,88.88049382002248
Shetland Islands,Healthy Birthweight,Raw data,2006/07,90.36277192716595
South Ayrshire,Healthy Birthweight,Raw data,2006/07,88.10465000499146
South Lanarkshire,Healthy Birthweight,Raw data,2006/07,88.44859914146103
Stirling,Healthy Birthweight,Raw data,2006/07,88.83830644833226
West Dunbartonshire,Healthy Birthweight,Raw data,2006/07,88.32150599729825
West Lothian,Healthy Birthweight,Raw data,2006/07,88.6888627671683
Aberdeen City,Healthy Birthweight,Raw data,2007/08,90.13046332647069
Aberdeenshire,Healthy Birthweight,Raw data,2007/08,89.51010122017335
Angus,Healthy Birthweight,Raw data,2007/08,89.6087564565213
Argyll and Bute,Healthy Birthweight,Raw data,2007/08,88.98972765633435
Clackmannanshire,Healthy Birthweight,Raw data,2007/08,88.68576017344843
Dumfries and Galloway,Healthy Birthweight,Raw data,2007/08,88.91079891792918
Dundee City,Healthy Birthweight,Raw data,2007/08,90.18092425918279
East Ayrshire,Healthy Birthweight,Raw data,2007/08,88.61484972201038
East Dunbartonshire,Healthy Birthweight,Raw data,2007/08,89.33875043755454
East Lothian,Healthy Birthweight,Raw data,2007/08,89.45605642710531
East Renfrewshire,Healthy Birthweight,Raw data,2007/08,88.42948204149855
"Edinburgh, City of",Healthy Birthweight,Raw data,2007/08,89.8473793184696
Eilean Siar,Healthy Birthweight,Raw data,2007/08,87.39362985478034
Falkirk,Healthy Birthweight,Raw data,2007/08,88.24468780514424
Fife,Healthy Birthweight,Raw data,2007/08,88.34818064154115
Glasgow City,Healthy Birthweight,Raw data,2007/08,89.09675883293038
Highland,Healthy Birthweight,Raw data,2007/08,90.547519094339
Inverclyde,Healthy Birthweight,Raw data,2007/08,88.78486691036356
Midlothian,Healthy Birthweight,Raw data,2007/08,89.77348551540378
Moray,Healthy Birthweight,Raw data,2007/08,89.89950888346245
North Ayrshire,Healthy Birthweight,Raw data,2007/08,88.08303828795631
North Lanarkshire,Healthy Birthweight,Raw data,2007/08,88.1782742393017
Orkney Islands,Healthy Birthweight,Raw data,2007/08,89.51838310567727
Perth and Kinross,Healthy Birthweight,Raw data,2007/08,89.42791055905123
Renfrewshire,Healthy Birthweight,Raw data,2007/08,87.90116520639793
Scotland,Healthy Birthweight,Raw data,2007/08,89.09501114487576
Scottish Borders,Healthy Birthweight,Raw data,2007/08,88.73127145768537
Shetland Islands,Healthy Birthweight,Raw data,2007/08,90.77561269875112
South Ayrshire,Healthy Birthweight,Raw data,2007/08,89.07330317137156
South Lanarkshire,Healthy Birthweight,Raw data,2007/08,88.88181174473544
Stirling,Healthy Birthweight,Raw data,2007/08,88.61864633833432
West Dunbartonshire,Healthy Birthweight,Raw data,2007/08,88.74132822154814
West Lothian,Healthy Birthweight,Raw data,2007/08,89.24458882383925
Aberdeen City,Healthy Birthweight,Raw data,2008/09,90.0810964353805
Aberdeenshire,Healthy Birthweight,Raw data,2008/09,89.3232036334379
Angus,Healthy Birthweight,Raw data,2008/09,90.36065816320689
Argyll and Bute,Healthy Birthweight,Raw data,2008/09,89.04680351698164
Clackmannanshire,Healthy Birthweight,Raw data,2008/09,88.41656667716329
Dumfries and Galloway,Healthy Birthweight,Raw data,2008/09,89.2843217457703
Dundee City,Healthy Birthweight,Raw data,2008/09,90.25426024676399
East Ayrshire,Healthy Birthweight,Raw data,2008/09,88.87272268041251
East Dunbartonshire,Healthy Birthweight,Raw data,2008/09,88.84616966409705
East Lothian,Healthy Birthweight,Raw data,2008/09,89.93984217799414
East Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.43966512707846
"Edinburgh, City of",Healthy Birthweight,Raw data,2008/09,89.34840557321434
Eilean Siar,Healthy Birthweight,Raw data,2008/09,86.71626871049779
Falkirk,Healthy Birthweight,Raw data,2008/09,88.80571171990806
Fife,Healthy Birthweight,Raw data,2008/09,88.33454371867636
Glasgow City,Healthy Birthweight,Raw data,2008/09,89.38650604160972
Highland,Healthy Birthweight,Raw data,2008/09,90.1386686854886
Inverclyde,Healthy Birthweight,Raw data,2008/09,89.75731172883847
Midlothian,Healthy Birthweight,Raw data,2008/09,88.97451207521783
Moray,Healthy Birthweight,Raw data,2008/09,90.99407671703159
North Ayrshire,Healthy Birthweight,Raw data,2008/09,88.20592449625178
North Lanarkshire,Healthy Birthweight,Raw data,2008/09,88.57535179632718
Orkney Islands,Healthy Birthweight,Raw data,2008/09,89.6071955967244
Perth and Kinross,Healthy Birthweight,Raw data,2008/09,89.26439836065532
Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.30717460376975
Scotland,Healthy Birthweight,Raw data,2008/09,89.16041057474314
Scottish Borders,Healthy Birthweight,Raw data,2008/09,88.87655917067683
Shetland Islands,Healthy Birthweight,Raw data,2008/09,90.2984903429595
South Ayrshire,Healthy Birthweight,Raw data,2008/09,89.24964377324409
South Lanarkshire,Healthy Birthweight,Raw data,2008/09,89.11433047980738
Stirling,Healthy Birthweight,Raw data,2008/09,88.46964638747677
West Dunbartonshire,Healthy Birthweight,Raw data,2008/09,89.06124197712546
West Lothian,Healthy Birthweight,Raw data,2008/09,88.57009648085875
Aberdeen City,Healthy Birthweight,Raw data,2009/10,90.01192602044999
Aberdeenshire,Healthy Birthweight,Raw data,2009/10,89.49593392304723
Angus,Healthy Birthweight,Raw data,2009/10,90.11293620788855
Argyll and Bute,Healthy Birthweight,Raw data,2009/10,89.86548708000713
Clackmannanshire,Healthy Birthweight,Raw data,2009/10,88.24723649245611
Dumfries and Galloway,Healthy Birthweight,Raw data,2009/10,89.38649404865487
Dundee City,Healthy Birthweight,Raw data,2009/10,90.05440421470956
East Ayrshire,Healthy Birthweight,Raw data,2009/10,89.0299064165265
East Dunbartonshire,Healthy Birthweight,Raw data,2009/10,89.0020138878021
East Lothian,Healthy Birthweight,Raw data,2009/10,89.37354962017197
East Renfrewshire,Healthy Birthweight,Raw data,2009/10,88.5491857982323
"Edinburgh, City of",Healthy Birthweight,Raw data,2009/10,89.43562936667485
Eilean Siar,Healthy Birthweight,Raw data,2009/10,86.27222723562915
Falkirk,Healthy Birthweight,Raw data,2009/10,89.0450657185708
Fife,Healthy Birthweight,Raw data,2009/10,88.71063558008723
Glasgow City,Healthy Birthweight,Raw data,2009/10,89.28043047320325
Highland,Healthy Birthweight,Raw data,2009/10,89.88499923961042
Inverclyde,Healthy Birthweight,Raw data,2009/10,89.75438600075563
Midlothian,Healthy Birthweight,Raw data,2009/10,88.67989272371672
Moray,Healthy Birthweight,Raw data,2009/10,90.91190818586547
North Ayrshire,Healthy Birthweight,Raw data,2009/10,88.82219758326333
North Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01558514613468
Orkney Islands,Healthy Birthweight,Raw data,2009/10,89.25936950976786
Perth and Kinross,Healthy Birthweight,Raw data,2009/10,88.98923353818499
Renfrewshire,Healthy Birthweight,Raw data,2009/10,89.04229359629763
Scotland,Healthy Birthweight,Raw data,2009/10,89.29640292082894
Scottish Borders,Healthy Birthweight,Raw data,2009/10,89.0966319034028
Shetland Islands,Healthy Birthweight,Raw data,2009/10,90.09942438513868
South Ayrshire,Healthy Birthweight,Raw data,2009/10,89.82329625308815
South Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01681896112136
Stirling,Healthy Birthweight,Raw data,2009/10,88.87979559052451
West Dunbartonshire,Healthy Birthweight,Raw data,2009/10,88.97097741338096
West Lothian,Healthy Birthweight,Raw data,2009/10,89.4584807039552
Aberdeen City,Healthy Birthweight,Raw data,2010/11,90.08167844324917
Aberdeenshire,Healthy Birthweight,Raw data,2010/11,90.03955071472039
Angus,Healthy Birthweight,Raw data,2010/11,90.17052360849492
Argyll and Bute,Healthy Birthweight,Raw data,2010/11,89.78026952334561
Clackmannanshire,Healthy Birthweight,Raw data,2010/11,88.95702203490755
Dumfries and Galloway,Healthy Birthweight,Raw data,2010/11,88.8707316508877
Dundee City,Healthy Birthweight,Raw data,2010/11,89.99585624075372
East Ayrshire,Healthy Birthweight,Raw data,2010/11,89.45563489609201
East Dunbartonshire,Healthy Birthweight,Raw data,2010/11,88.57818808314964
East Lothian,Healthy Birthweight,Raw data,2010/11,89.68666213256184
East Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.0370821392092
"Edinburgh, City of",Healthy Birthweight,Raw data,2010/11,89.38967318768944
Eilean Siar,Healthy Birthweight,Raw data,2010/11,87.13648478437868
Falkirk,Healthy Birthweight,Raw data,2010/11,89.16177469468222
Fife,Healthy Birthweight,Raw data,2010/11,88.6014658955247
Glasgow City,Healthy Birthweight,Raw data,2010/11,89.5155104596072
Highland,Healthy Birthweight,Raw data,2010/11,89.90391582164683
Inverclyde,Healthy Birthweight,Raw data,2010/11,90.7911688091504
Midlothian,Healthy Birthweight,Raw data,2010/11,88.62552216746411
Moray,Healthy Birthweight,Raw data,2010/11,90.53807804588007
North Ayrshire,Healthy Birthweight,Raw data,2010/11,88.75410483224374
North Lanarkshire,Healthy Birthweight,Raw data,2010/11,88.92910352644056
Orkney Islands,Healthy Birthweight,Raw data,2010/11,89.36669468638779
Perth and Kinross,Healthy Birthweight,Raw data,2010/11,89.43453635855225
Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.91463264438751
Scotland,Healthy Birthweight,Raw data,2010/11,89.42084177016964
Scottish Borders,Healthy Birthweight,Raw data,2010/11,89.61609644398057
Shetland Islands,Healthy Birthweight,Raw data,2010/11,90.33285108915362
South Ayrshire,Healthy Birthweight,Raw data,2010/11,89.8554243117502
South Lanarkshire,Healthy Birthweight,Raw data,2010/11,89.08292933534416
Stirling,Healthy Birthweight,Raw data,2010/11,89.13909794945151
West Dunbartonshire,Healthy Birthweight,Raw data,2010/11,89.30493291037995
West Lothian,Healthy Birthweight,Raw data,2010/11,89.21489346812696
Aberdeen City,Healthy Birthweight,Raw data,2011/12,90.1344099699998
Aberdeenshire,Healthy Birthweight,Raw data,2011/12,90.48207742139805
Angus,Healthy Birthweight,Raw data,2011/12,89.80288471056963
Argyll and Bute,Healthy Birthweight,Raw data,2011/12,89.88423201229598
Clackmannanshire,Healthy Birthweight,Raw data,2011/12,89.09648534163064
Dumfries and Galloway,Healthy Birthweight,Raw data,2011/12,89.08334496856854
Dundee City,Healthy Birthweight,Raw data,2011/12,89.75001046859218
East Ayrshire,Healthy Birthweight,Raw data,2011/12,89.6442216864752
East Dunbartonshire,Healthy Birthweight,Raw data,2011/12,88.68451933941903
East Lothian,Healthy Birthweight,Raw data,2011/12,89.97310823649582
East Renfrewshire,Healthy Birthweight,Raw data,2011/12,89.29070348824632
"Edinburgh, City of",Healthy Birthweight,Raw data,2011/12,89.90280187836133
Eilean Siar,Healthy Birthweight,Raw data,2011/12,87.1611697638557
